competitor_id,name,country,country_code,abbreviation
118166,"Bakshi, Aleksandre",Georgia,GEO,BAK
244388,"Kalyanpur, Adil",India,IND,KAL
121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL
429603,"Rune, Holger",Denmark,DNK,RUN
163504,"Medvedev, Daniil",Neutral,,MED
225050,"Sinner, Jannik",Italy,ITA,SIN
83397,"Ofner, Sebastian",Austria,AUT,OFN
116616,"Clarke, Jay",Great Britain,GBR,CLA
202735,"Carou, Ignacio",Uruguay,URY,CAR
655845,"Quinn, Ethan",USA,USA,QUI
671229,"Winter, Edward",Australia,AUS,WIN
138712,"Oradini, Giovanni",Italy,ITA,ORA
193912,"Dev, S D Prajwal",India,IND,DEV
407791,"Mackinlay, James",Great Britain,GBR,MAC
65576,"Sakamoto, Pedro",Brazil,BRA,SAK
855911,"Hrazdil, Jan",Czechia,CZE,HRA
90798,"Halys, Quentin",France,FRA,HAL
58369,"Bolt, Alex",Australia,AUS,BOL
111609,"Barroso Campos, Alberto",Spain,ESP,BAR
679701,"Gueymard Wayenburg, Sascha",France,FRA,GUE
263857,"De Krom, Michiel",Netherlands,NLD,DE
280559,"Catini, Niccolo",Italy,ITA,CAT
220590,"Huang, Tsung-Hao",Chinese Taipei,TPE,HUA
505542,"Grevelius, Erik",Sweden,SWE,GRE
51100,"Roca Batalla, Oriol",Spain,ESP,ROC
54903,"Karlovskiy, Evgeny",Neutral,,KAR
309954,"Droguet, Titouan",France,FRA,DRO
750283,"Isomura, Kokoro",Japan,JPN,ISO
16852,"Uzhylovskyi, Volodoymyr",Ukraine,UKR,UZV
48281,"Rungkat, Christopher",Indonesia,IDN,RUN
385204,"Verbin, Pavel",Neutral,,VER
739643,"Loof, Thijmen",Netherlands,NLD,LOO
947875,"Zhou, Yi",China,CHN,ZHO
437794,"Heinonen, Adam",Sweden,SWE,HEI
240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
564952,"Kusuhara, Yusuke",Japan,JPN,KUS
497320,"Visker, Niels",Netherlands,NLD,VIS
214824,"Aguilar, Juan Carlos",Canada,CAN,AGU
215696,"Schell, Niklas",Germany,DEU,SCH
194668,"Wenger, Damien",Switzerland,CHE,WEN
973963,"Watt, James",New Zealand,NZL,WAT
95939,"Whitehouse, Mark",Great Britain,GBR,WHI
79227,"Sinclair, Colin",Northern Mariana Islands,MNP,SIN
